Sample_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]	Sequencing center [OBI_0001891]
1928.SRS016485.SRX019686.SRR041278	700032181 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016485.SRX019699.SRR042844	700032181 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016485.SRX020202.SRR042815	700032181 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016485.SRX020211.SRR042864	700032181 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016488.SRX019686.SRR043007	700032184 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016488.SRX019699.SRR042963	700032184 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016488.SRX020202.SRR042815	700032184 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016488.SRX020211.SRR043041	700032184 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016491.SRX019686.SRR042876	700032187 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016491.SRX019699.SRR042975	700032187 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016491.SRX020202.SRR042815	700032187 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016491.SRX020211.SRR042857	700032187 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016493.SRX019684.SRR041169	700032189 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016493.SRX019695.SRR041717	700032189 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016517.SRX019683.SRR041077	700032244 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016517.SRX019694.SRR041768	700032244 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016525.SRX019683.SRR041102	700032252 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016525.SRX019694.SRR041684	700032252 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016529.SRX019635.SRR040580	700032256 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016529.SRX019636.SRR040656	700032256 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016531.SRX020358.SRR043257	700032258 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016531.SRX020363.SRR043297	700032258 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016533.SRX019683.SRR041055	700032260 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016533.SRX019694.SRR041712	700032260 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016535.SRX019683.SRR042906	700032262 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016535.SRX019694.SRR042995	700032262 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016535.SRX020358.SRR043259	700032262 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016535.SRX020363.SRR043248	700032262 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016537.SRX019683.SRR041137	700032264 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016537.SRX019694.SRR041842	700032264 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016539.SRX019683.SRR042831	700032266 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016539.SRX020358.SRR043222	700032266 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016539.SRX020363.SRR043273	700032266 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016541.SRX019683.SRR041111	700032268 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016541.SRX019694.SRR041800	700032268 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016543.SRX019683.SRR041150	700032270 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016543.SRX019694.SRR041699	700032270 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016545.SRX019635.SRR040615	700032272 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016545.SRX019636.SRR040624	700032272 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016547.SRX019635.SRR040586	700032274 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016547.SRX019636.SRR040606	700032274 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016549.SRX019689.SRR041448	700032276 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016551.SRX019689.SRR041413	700032278 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016553.SRX019635.SRR040617	700032280 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016553.SRX019636.SRR040582	700032280 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016555.SRX019635.SRR040687	700032282 (Source)	Vagina	Mucus	Vaginal introitus	V5-V3	Mucus	BI
1928.SRS016555.SRX019636.SRR040756	700032282 (Source)	Vagina	Mucus	Vaginal introitus	V5-V3	Mucus	BI
1928.SRS016557.SRX019635.SRR040665	700032284 (Source)	Vagina	Mucus	Central vagina	V5-V3	Mucus	BI
1928.SRS016557.SRX019636.SRR040651	700032284 (Source)	Vagina	Mucus	Central vagina	V5-V3	Mucus	BI
1928.SRS016559.SRX019635.SRR040662	700032286 (Source)	Vagina	Mucus	Posterior fornix of vagina	V5-V3	Mucus	BI
1928.SRS016559.SRX019636.SRR040605	700032286 (Source)	Vagina	Mucus	Posterior fornix of vagina	V5-V3	Mucus	BI
1928.SRS016561.SRX019688.SRR041466	700032288 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016561.SRX020196.SRR042843	700032288 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016561.SRX020197.SRR042796	700032288 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016585.SRX019686.SRR042899	700032338 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016585.SRX020359.SRR043223	700032338 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016585.SRX020371.SRR043249	700032338 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016592.SRX019686.SRR041314	700032345 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016596.SRX019686.SRR041302	700032349 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016598.SRX019686.SRR041230	700032351 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016600.SRX019686.SRR041343	700032353 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016602.SRX019686.SRR041253	700032355 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016604.SRX019686.SRR041228	700032357 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016606.SRX019686.SRR041258	700032359 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016608.SRX019686.SRR041269	700032361 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016610.SRX019686.SRR041205	700032363 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016612.SRX019686.SRR041354	700032365 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016615.SRX019686.SRR041337	700032368 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016617.SRX019686.SRR041235	700032370 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016617.SRX020194.SRR042835	700032370 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016619.SRX019699.SRR043013	700032372 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016619.SRX020202.SRR042815	700032372 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016619.SRX020211.SRR043023	700032372 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016621.SRX019686.SRR041297	700032374 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016623.SRX019686.SRR041344	700032376 (Source)	Vagina	Mucus	Vaginal introitus	V5-V3	Mucus	BI
1928.SRS016625.SRX019686.SRR041329	700032378 (Source)	Vagina	Mucus	Central vagina	V5-V3	Mucus	BI
1928.SRS016627.SRX019686.SRR041250	700032380 (Source)	Vagina	Mucus	Posterior fornix of vagina	V5-V3	Mucus	BI
1928.SRS016630.SRX019691.SRR041505	700032414 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016642.SRX019691.SRR041586	700032426 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016648.SRX019691.SRR041513	700032432 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016651.SRX019691.SRR041617	700032435 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016654.SRX019691.SRR041564	700032438 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016657.SRX019691.SRR041623	700032441 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016660.SRX019691.SRR041599	700032444 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016663.SRX019691.SRR041553	700032447 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016666.SRX019691.SRR041647	700032450 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016669.SRX019691.SRR041632	700032453 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016672.SRX019691.SRR041499	700032456 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016675.SRX019691.SRR041652	700032459 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016675.SRX020199.SRR042829	700032459 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016678.SRX019691.SRR042913	700032462 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016678.SRX020200.SRR042802	700032462 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016678.SRX020202.SRR042815	700032462 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016678.SRX020212.SRR042858	700032462 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016681.SRX019691.SRR042986	700032465 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016681.SRX020197.SRR042796	700032465 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016681.SRX020207.SRR042824	700032465 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016684.SRX019691.SRR041597	700032468 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016684.SRX020199.SRR043001	700032468 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016687.SRX019691.SRR041604	700032471 (Source)	Vagina	Mucus	Vaginal introitus	V5-V3	Mucus	BI
1928.SRS016690.SRX019691.SRR041585	700032474 (Source)	Vagina	Mucus	Central vagina	V5-V3	Mucus	BI
1928.SRS016693.SRX019691.SRR041524	700032477 (Source)	Vagina	Mucus	Posterior fornix of vagina	V5-V3	Mucus	BI
1928.SRS016708.SRX019682.SRR040957	700032653 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016708.SRX019693.SRR041991	700032653 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016708.SRX020202.SRR042815	700032653 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016708.SRX020205.SRR042884	700032653 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016712.SRX019682.SRR040865	700032657 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016714.SRX019682.SRR040891	700032659 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016716.SRX019682.SRR040937	700032661 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016716.SRX020217.SRR042940	700032661 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016718.SRX019682.SRR040964	700032663 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016720.SRX019682.SRR040895	700032665 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016722.SRX019682.SRR040952	700032667 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016724.SRX019682.SRR040948	700032669 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016726.SRX019682.SRR040989	700032671 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016728.SRX019682.SRR040876	700032673 (Source)	Vagina	Mucus	Vaginal introitus	V5-V3	Mucus	BI
1928.SRS016730.SRX019682.SRR040947	700032675 (Source)	Vagina	Mucus	Central vagina	V5-V3	Mucus	BI
1928.SRS016732.SRX019682.SRR040869	700032677 (Source)	Vagina	Mucus	Posterior fornix of vagina	V5-V3	Mucus	BI
1928.SRS016732.SRX020217.SRR042933	700032677 (Source)	Vagina	Mucus	Posterior fornix of vagina	V5-V3	Mucus	BI
1928.SRS016753.SRX019688.SRR041461	700032944 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016761.SRX019688.SRR041365	700032952 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016765.SRX019688.SRR041377	700032956 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016767.SRX019688.SRR041483	700032958 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016769.SRX019688.SRR041464	700032960 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016771.SRX019688.SRR041371	700032962 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016773.SRX019688.SRR041457	700032964 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016775.SRX019688.SRR041441	700032966 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016775.SRX020196.SRR042818	700032966 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016775.SRX020197.SRR042796	700032966 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016777.SRX019688.SRR041376	700032968 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016779.SRX019688.SRR041397	700032970 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016781.SRX019688.SRR041419	700032972 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016783.SRX019688.SRR041402	700032974 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016785.SRX019688.SRR041370	700032976 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016785.SRX020196.SRR042951	700032976 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016785.SRX020197.SRR042796	700032976 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016787.SRX019688.SRR041445	700032978 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016787.SRX020196.SRR043019	700032978 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016787.SRX020197.SRR042796	700032978 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016789.SRX019688.SRR041406	700032980 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016789.SRX020196.SRR042914	700032980 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016789.SRX020197.SRR042796	700032980 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016841.SRX019692.SRR041889	700033202 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016841.SRX019696.SRR042025	700033202 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016853.SRX019692.SRR041870	700033214 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016853.SRX019696.SRR041784	700033214 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016859.SRX019692.SRR041693	700033220 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016859.SRX019696.SRR041733	700033220 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016862.SRX019692.SRR041873	700033223 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016862.SRX019696.SRR041888	700033223 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016865.SRX019692.SRR042024	700033226 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016865.SRX019696.SRR041689	700033226 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016868.SRX019692.SRR041727	700033229 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016868.SRX019696.SRR041747	700033229 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016871.SRX019692.SRR041769	700033232 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016871.SRX019696.SRR041709	700033232 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016874.SRX019692.SRR041728	700033235 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016874.SRX019696.SRR042015	700033235 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016877.SRX019692.SRR041896	700033238 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016877.SRX019696.SRR041883	700033238 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016880.SRX019692.SRR041944	700033241 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016880.SRX019696.SRR041802	700033241 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016883.SRX019692.SRR041793	700033244 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016883.SRX019696.SRR041958	700033244 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016886.SRX019692.SRR041903	700033247 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016886.SRX019696.SRR041676	700033247 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016889.SRX019689.SRR041436	700033250 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016892.SRX019689.SRR041422	700033253 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016895.SRX019692.SRR041677	700033256 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016895.SRX019696.SRR041691	700033256 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS016916.SRX019681.SRR040953	700033382 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016924.SRX019681.SRR040927	700033390 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS016928.SRX019681.SRR040920	700033394 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS016930.SRX019681.SRR040981	700033396 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016930.SRX020198.SRR042919	700033396 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS016932.SRX019681.SRR040934	700033398 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS016934.SRX019681.SRR040982	700033400 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS016936.SRX019681.SRR040856	700033402 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS016938.SRX019681.SRR040999	700033404 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS016940.SRX019681.SRR040898	700033406 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016942.SRX019681.SRR040963	700033408 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS016944.SRX019681.SRR040956	700033410 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016944.SRX020198.SRR042838	700033410 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016946.SRX019681.SRR043033	700033412 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016946.SRX020197.SRR042796	700033412 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016946.SRX020206.SRR042822	700033412 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS016948.SRX019681.SRR043059	700033414 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016948.SRX020197.SRR042796	700033414 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016948.SRX020206.SRR042996	700033414 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016950.SRX019689.SRR041475	700033416 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS016954.SRX019687.SRR041333	700033435 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS016974.SRX020660.SRR044896	700033468 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS016974.SRX020668.SRR045128	700033468 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS016984.SRX020515.SRR047517	700033489 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS016984.SRX020571.SRR045483	700033489 (Source)	Skin	Sebum	Skin of elbos	V3-V5	Sebum	WUGSC
1928.SRS016990.SRX019691.SRR041566	700033503 (Source)	Colon	Feces	Colon	V5-V3	Stool	BI
1928.SRS017002.SRX019691.SRR041557	700033515 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS017008.SRX019691.SRR041563	700033521 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS017011.SRX019691.SRR041619	700033524 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS017014.SRX019691.SRR041537	700033527 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS017017.SRX019691.SRR041574	700033530 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS017020.SRX019691.SRR041519	700033533 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS017023.SRX019691.SRR041558	700033536 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS017026.SRX019691.SRR041616	700033539 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS017029.SRX019691.SRR041515	700033542 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V5-V3	Oral swab	BI
1928.SRS017032.SRX019691.SRR041523	700033545 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS017035.SRX019691.SRR041538	700033548 (Source)	Skin	Sebum	External ear	V5-V3	Sebum	BI
1928.SRS017038.SRX019691.SRR042896	700033551 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS017038.SRX020197.SRR042796	700033551 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS017038.SRX020207.SRR043054	700033551 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS017041.SRX019691.SRR042839	700033554 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS017041.SRX020357.SRR043266	700033554 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS017041.SRX020365.SRR043252	700033554 (Source)	Skin	Sebum	Skin of elbos	V5-V3	Sebum	BI
1928.SRS017044.SRX019691.SRR041591	700033557 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS017044.SRX020199.SRR042812	700033557 (Source)	Skin	Sebum	Skin of nose	V5-V3	Sebum	BI
1928.SRS017072.SRX019687.SRR041306	700033585 (Source)	Oral cavity	Saliva	Oral cavity	V5-V3	Oral swab	BI
1928.SRS017076.SRX019687.SRR041222	700033589 (Source)	Oral cavity	Saliva	Tongue	V5-V3	Oral swab	BI
1928.SRS017078.SRX019687.SRR041264	700033591 (Source)	Oral cavity	Saliva	Palate	V5-V3	Oral swab	BI
1928.SRS017080.SRX019687.SRR041260	700033593 (Source)	Oral cavity	Saliva	Buccal mucosa	V5-V3	Oral swab	BI
1928.SRS017082.SRX019687.SRR041283	700033595 (Source)	Oral cavity	Saliva	Gingiva	V5-V3	Oral swab	BI
1928.SRS017084.SRX019687.SRR041304	700033597 (Source)	Oral cavity	Saliva	Palatine tonsil	V5-V3	Oral swab	BI
1928.SRS017086.SRX019687.SRR041323	700033599 (Source)	Oral cavity	Saliva	Throat	V5-V3	Oral swab	BI
1928.SRS017088.SRX019687.SRR041225	700033601 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V5-V3	Oral swab	BI
